query,super_category
Le propriétaire n'a pas enregistré le bail.,Droit immobilier
Dois-je reconnaître notre enfant si je deviens un cohabitant légal ?,Droit de la famille
"En cas de séparation, quelles mesures le juge de la famille peut-il prendre à l'égard de nos enfants?",Droit de la famille
Je suis marié(e). Le salaire de mon conjoint m’appartient-il aussi ?,Droit de la famille
Qu’est-ce que je risque si je remets un faux diplôme ou un CV trafiqué à mon futur employeur ?,Droit du travail
L'amende pénale s'arrête-t-elle après un certain temps ?,Droit pénal
Dois - je être fidèle à mon mari?,Droit de la famille
Le règlement collectif des dettes m'empêche-t-il de gagner de l'argent ?,Droit financier
Puis-je contester la décision du tribunal si je ne suis pas d'accord ?,Droit de la protection sociale
Est-il possible pour le propriétaire de m'interdire de le faire à Bruxelles ?,Droit immobilier
La personne protégée peut-elle prendre un abonnement ?,Droit de la famille
Quelle est l'autorité d'un enfant mineur?,Droit de la famille
Les père et mère de l'enfant résident ensemble. Que faire si je ne peux pas me mettre d'accord avec l'autre parent pour une décision concernant notre enfant mineur ?,Droit de la famille
Où et comment faut-il déclarer la naissance ?,Droit de la protection sociale
"J'ai une procédure dans un autre arrondissement judiciaire, que faire ?",Droit pénal
Mon propriétaire peut-il mettre fin à la vie à Bruxelles ?,Droit immobilier
Comment la société peut-elle mettre fin au bail de logements sociaux en Wallonie?,Droit immobilier
Quels sont l'entretien et les réparations du locataire dans la ville?,Droit immobilier
Qu’est-ce que je risque si je remets un faux diplôme ou un CV trafiqué à mon futur employeur ?,Droit du travail
Le père de mes enfants vient de décéder et ils sont mineurs. Que dois-je faire ?,Droit financier
Je suis victime de violence familiale.,Droit de la famille
"Quels sont mes droits (rémunération, horaires, etc.) si je reprends un travail à temps partiel suite à un trajet de réintégration ?",Droit de la protection sociale
"Nous ne sommes pas mariés, quel nom portera notre enfant si son père le reconnaît après qu'il ait été déclaré à la commune ?",Droit de la famille
Peut-on réclamer le loyer d'un colocataire ?,Droit immobilier
Comment l'avocat calcule-t-il ses honoraires ?,Droit pénal
Puis-je faire un nouveau crédit à la consommation pour rembourser ceux que j'ai déjà ?,Droit financier
Est-il possible qu'une personne âgée qui n'a plus toute sa tête soit observée?,Droit de la famille
Quand puis-je récupérer la garantie locative à Bruxelles ?,Droit immobilier
Mon ami est un résident de ma maison.,Droit financier
Quelles sont les sanctions si j’ai cassé une voiture ?,Droit pénal
"Je n'ai pas de chambre pour chaque enfant, le juge refusera-t-il que j'héberge mes enfants ?",Droit de la famille
Qu'est-ce qu'un crédit hypothécaire?,Droit financier
Que se passe-t-il si je reste au même endroit pendant 9 ans ?,Droit immobilier
Puis-je être expulsé de Belgique si je fais une déclaration de cohabitation légale?,Droit des étrangers
Puis-je arrêter mon orientation budgétaire?,Droit financier
Est-ce une bonne idée de prendre une assurance RC familiale ?,Droit de la famille
J'ai divorcé à cause d'une désunion irrémédiable.,Droit de la famille
Je suis un parent et je ne fais pas confiance à mon ex.,Droit de la famille
Est-ce que j'aurai la réponse du juge après le dépôt de ma demande de règlement collectif des dettes?,Droit financier
Puis-je me présenter seul ou devrais-je avoir un avocat avec moi ?,Droit pénal
Quelles dépenses dois-je payer en tant que locataire?,Droit immobilier
Qu'est-ce que la saisie mobilière ?,Droit financier
Est-il possible de vérifier les charges qui m'ont été facturées à Bruxelles?,Droit immobilier
Quels droits ai-je si je retourne au travail à temps partiel?,Droit de la protection sociale
Mon propriétaire peut-il mettre fin au bail pour vendre le logement que j’occupe à Bruxelles ?,Droit immobilier
"Nous ne sommes pas mariés, quel nom portera mon enfant si le père ne le reconnaît pas ?",Droit de la famille
Je suis convoqué en justice. Qu'est ce que je risque si je ne respecte pas la décision ?,Droit pénal
Que dois - je faire quand mon voisin refuse de vendre son attachement?,Droit immobilier
Dois-je payer pour la nourriture ?,Droit de la famille
Comment mettre fin au bail de commun accord à Bruxelles ?,Droit immobilier
Je suis marié(e). Dois-je avoir l'accord de mon conjoint pour exercer une profession ?,Droit de la famille
Puis-je mettre fin à mon bail avant qu'il ne se termine à Bruxelles?,Droit immobilier
Quels sont les risques si je me fais prendre avec du cannabis ?,Droit pénal
"J'ai signé une déclaration de cohabitation légale. En tant que cohabitant légal, dois-je contribuer aux frais de ménage si je n’ai pas ou peu de ressources ?",Droit de la famille
Dois-je blâmer mon conjoint pour le divorce?,Droit de la famille
Mon bail est-il un contrat de bail étudiant à Bruxelles ?,Droit immobilier
Le juge de la famille peut-il forcer l'un d'entre nous à quitter la maison familiale?,Droit de la famille
Est-ce légal de conclure un bail à vie à Bruxelles ?,Droit immobilier
Quand dois-je dire à mon employeur que je suis enceinte ?,Droit de la protection sociale
Je divorce. Je divorce par consentement mutuel. Doit-on s’adresser à un avocat ou à un notaire pour rédiger nos conventions de divorce ?,Droit de la famille
Est-il possible d'obtenir la prolongation pour des circonstances exceptionnelles à Bruxelles?,Droit immobilier
Dois-je partir avant l'expulsion ?,Droit immobilier
Je me marie. Sommes-nous obligés de faire un contrat de mariage ?,Droit de la famille
Quel nom sera donné à notre enfant si son père le reconnaît avant ou à la naissance?,Droit de la famille
Je peux changer d'avis ?,Droit financier
Je suis travailleuse salariée. Quand dois-je avertir mon employeur de ma grossesse ?,Droit de la protection sociale
Puis-je aller à la justice de la paix pour résoudre le différend de location ?,Droit immobilier
Que se passe-t-il si je ne paie pas l’amende pénale prévue dans le jugement ?,Droit pénal
Est-il possible de reconnaître un enfant après l'annulation d'un lien de filiation avec son père ?,Droit de la famille
Je m'assure que le propriétaire a un permis.,Droit immobilier
Qu'est-ce que la saisie immobilière ?,Droit financier
Je mets un appartement ou une maison en location (bail de résidence principale). Puis-je mettre mon locataire à la porte en Wallonie ?,Droit immobilier
Auprès de quel juge mon créancier peut-il me faire condamner au paiement de ma dette ?,Droit financier
Ai-je des contacts avec mes petits-fils ?,Droit de la famille
Puis-je faire appel en cas d'avis négatif sur ma demande?,Droit des étrangers
Comment la cohabitation légale se termine-t-elle?,Droit de la famille
A quoi sert la garantie locative à Bruxelles ?,Droit immobilier
Je suis hébergé. Le propriétaire peut-il me réclamer de payer le loyer si je vis chez mon compagnon mais que je n'ai pas signé le contrat de bail ?,Droit immobilier
Comment suis-je responsable de mon enfant ?,Droit de la famille
Je suis parent. Dois-je m'inquiéter pour la contribution alimentaire de mon fils si mon ex rentre en règlement collectif de dettes ?,Droit de la famille
Le nom de mon enfant est mal orthographié dans son acte de naissance. Puis-je faire corriger cette erreur ?,Droit de la famille
Qui décide d'accorder la prolongation pour des circonstances exceptionnelles?,Droit immobilier
L'administrateur de biens et/ou de la personne peut-il tout faire ?,Droit de la famille
Après combien de temps ma dette de stationnement est-elle prescrite ?,Droit financier
Je suis majeur. Je fais valoir des mérites exceptionnels. Que faire si je n'ai pas d'acte de naissance pour ma demande de nationalité ?,Droit des étrangers
Où trouver un modèle de requête en matière de bail en Wallonie ?,Droit immobilier
Que signifie un acte intentionnel dans le cadre d'une assurance familiale ?,Droit financier
Faut-il prendre un avocat pour aller au tribunal du travail contre un CPAS ?,Droit de la protection sociale
Dois-je répondre aux demandes d'information du procureur du Roi pour lutter contre le terrorisme?,Droit du travail
Je suis convoqué en justice. Comment se passe la procédure en appel ?,Droit pénal
Je ne travaille pas et je vis avec mes parents.,Droit financier
Dois-je payer les frais de justice si je conteste une décision d'une agence de sécurité sociale?,Droit de la protection sociale
Comment puis-je savoir si le tribunal de la famille est compétent pour mon problème?,Droit de la famille
Le propriétaire peut-il exiger un expert pour dresser l'état des lieux à Bruxelles ?,Droit immobilier
Suis-je payé pendant la procédure du trajet de réintégration ?,Droit du travail
Puis-je réclamer une contribution alimentaire de mon ex plusieurs années après notre séparation?,Droit de la famille
Que se passe-t-il si je ne viens pas au tribunal ?,Droit pénal
Puis-je avoir une aide du CPAS pour payer ma facture d'eau en Wallonie ?,Droit financier
Je suis convoqué en justice. Puis-je prendre contact directement avec le juge ?,Droit pénal
Mon administrateur peut-il m'empêcher de conduire ?,Droit de la famille
Peut-on m'expulser si je ne respecte pas le règlement d'ordre intérieur de mon logement social en Wallonie ?,Droit immobilier
Mon logement est insalubre et le propriétaire ne réagit pas. Puis-je suspendre le paiement des loyers en Wallonie ?,Droit immobilier
Après combien de temps ma dette envers mon ami est-elle prescrite ?,Droit financier
La procédure de règlement collectif des dettes peut être révoquée dans certains cas.,Droit financier
Quels types de décisions relèvent de l'autorité parentale ?,Droit de la famille
Je suis tuteur. Dois-je rendre des comptes à quelqu'un en tant que tuteur MENA ?,Droit des étrangers
Quels sont les risques si je donne à mon futur employeur un faux diplôme ou un curriculum vitae?,Droit du travail
Quel est le rôle de la personne de confiance ?,Droit de la famille
La garantie locative est-elle obligatoire à Bruxelles ?,Droit immobilier
Puis-je contester la décision du médecin-conseil?,Droit de la protection sociale
Qui est censé payer ma dette ?,Droit financier
J'introduis une demande en justice. Comment vais-je recevoir la décision de justice ?,Droit pénal
Mon ex ne paie pas la taxe alimentaire parce que je suis un parent.,Droit de la famille
Puis-je refuser cette transaction pénale ?,Droit pénal
"Je suis un parent, je peux l'appeler le SECAL ?",Droit de la famille
J'ai été condamné à une peine de prison.,Droit pénal
"Si je ne rembourse pas mon crédit hypothécaire, suis-je fiché à la Banque nationale ?",Droit financier
Je veux divorcer à cause d'une désunion irrémédiable.,Droit de la famille
Que dois-je faire s'il n'y a pas d'état des lieux à Bruxelles ?,Droit immobilier
"Si je suis surendetté, ai-je droit à l'aide juridique?",Droit financier
Je me sépare. Le juge de la famille peut-il imposer à l'un de nous de quitter le logement familial ?,Droit de la famille
Frais de gestion de l'agence immobilière : dois-je les payer à Bruxelles ?,Droit immobilier
J'ai été convoqué au tribunal et j'attends un nouveau jugement.,Droit pénal
Je me marie. Quel type de régime matrimonial choisir ?,Droit de la famille
Où et comment introduire la demande de mise sous administration de biens et/ou de la personne ?,Droit de la famille
Un ami veut me prêter de l'argent. Comment faire ?,Droit financier
Est-il possible de suspendre le paiement des loyers en Wallonie ?,Droit immobilier
Est-il possible que ma personne de confiance soit nommée à l'avance?,Droit de la famille
Je me sépare. Mon compagnon peut-il me mettre à la porte de notre logement si je n'ai pas signé le contrat de bail ?,Droit de la famille
Puis-je être mis sous administration de biens si je gère mal mon argent ?,Droit de la famille
Serai-je reconnu comme le père de l'enfant si nous sommes séparés ?,Droit de la famille
Dois-je payer pour déposer une plainte?,Droit financier
J'ai la confiance qui vient d'être un professionnel.,Droit du travail
Je suis parent. L'hébergement alterné empêche-t-il le paiement d'une contribution alimentaire ?,Droit de la famille
Je ne sais pas si je dois payer une contribution alimentaire.,Droit de la famille
Je suis majeur. Je fais valoir des mérites exceptionnels. Comment se déroule la procédure de demande de naturalisation ?,Droit des étrangers
"Je ne suis pas d'accord avec l'état des lieux, que faire à Bruxelles ?",Droit immobilier
Je suis victime de violences conjugales. Suis-je concernée par la violence conjugale ?,Droit de la famille
"Je suis victime de violences conjugales. En tant que victime de violences conjugales, puis-je quitter le logement familial ?",Droit de la famille
Je me marie. Puis-je me marier avec une personne de même sexe ?,Droit de la famille
Dois-je installer des détecteurs d'incendie en Wallonie ?,Droit financier
Dois-je prendre un avocat pour contester la décision d’un organisme de sécurité sociale en Wallonie ?,Droit immobilier
"Mon ami a endommagé ma maison, qui doit faire les réparations ?",Droit immobilier
"Mon conjoint est mort et je dois payer le loyer, mais le compte est bloqué.",Droit financier
Dois-je installer des détecteurs d'incendie en Wallonie ?,Droit immobilier
Quand y a-t-il une tutelle ?,Droit de la famille
Que faire si le médiateur de dettes ne répond pas à mes demandes ?,Droit financier
"Si mon enfant quitte la maison, dois-je encore payer la pension alimentaire?",Droit de la famille
Puis-je accueillir un ami en échange d'argent ?,Droit immobilier
Les régimes de protection des personnes fragilisées ?,Droit financier
Puis-je mettre fin à mon bail sans préavis ni compensation s'il n'est pas enregistré?,Droit immobilier
Quelle est la valeur des accords obtenus en médiation familiale ?,Droit de la famille
Quels sont les enfants couverts par l'assurance familiale RC?,Droit financier
Je m'assure que le propriétaire a un permis.,Droit immobilier
Qu’est-ce que je risque si je me fais prendre avec du cannabis sur moi ?,Droit pénal
Est-il possible de réclamer une pension alimentaire avant le divorce?,Droit de la famille
Quand commence à courir le délai de préavis dans un bail de 9 ans à Bruxelles ?,Droit immobilier
Je suis victime de violence familiale.,Droit de la famille
Est-il possible que j'aie droit à l'aide juridique si je suis emprisonné?,Droit pénal
Est-il possible pour l'administrateur de choisir la résidence de sa personne protégée?,Droit de la famille
Qu'est-ce que je fais de mes meubles si je suis viré ?,Droit financier
Qui sont les débiteurs alimentaires auprès desquels le CPAS peut récupérer l'aide sociale ?,Droit de la protection sociale
Un avocat devrait-il participer au processus de placement des biens ou de la personne sous administration?,Droit de la famille
Comment se passe la procédure du trajet de réintégration ?,Droit de la protection sociale
L'enfant peut-il décider seul chez quel parent il veut vivre ?,Droit de la famille
Puis-je reconnaître un enfant après avoir réussi à faire annuler un lien de filiation avec son père ?,Droit de la famille
Que se passe-t-il si je ne fais pas bien mon travail ?,Droit pénal
Et si je divorce dans mon règlement de la dette ?,Droit financier
"Quelle est la signification des ""réparations rendues nécessaires par l'ancienneté, l'usure normale ou la force majeure"" à Bruxelles?",Droit immobilier
Je suis un étranger et je suis en Belgique.,Droit des étrangers
J'ai été condamné à payer ma dette.,Droit financier
Quelles règles s'appliquent à mon bail en Wallonie ?,Droit immobilier
Le juge de paix peut-il refuser le choix du tuteur fait par le(s) parent(s) ?,Droit de la famille
Qu'est-ce qu'une motion?,Droit pénal
Que faire si je ne suis pas d'accord avec la décision du CPAS en Wallonie ?,Droit immobilier
Puis-je construire une dalle de béton contre le mur ?,Droit immobilier
Les créanciers peuvent-ils s'opposer à ce que la personne nommée par le juge soit médiateur de dettes du RCD ?,Droit financier
Comment obtenir la garantie de location à Bruxelles ?,Droit immobilier
Puis-je retourner dans mon pays même si je n'ai pas purgé toute ma peine de prison en Belgique?,Droit pénal
"Si je vis avec d'autres, quel revenu est considéré pour l'aide juridique?",Droit pénal
Qui est couvert par l'assurance RC familiale?,Droit financier
Est-ce contre la loi d'étiqueter un mur ?,Droit pénal
Les colocataires tous ensemble peuvent-ils mettre fin au bail officiel de colocation avant l'échéance à Bruxelles ?,Droit immobilier
Quels sont les revenus pris en compte pour l'aide juridique si je vis seul ?,Droit pénal
Puis-je demander une diminution du loyer en cours de bail à Bruxelles ?,Droit immobilier
"Je me sépare. En tant que cohabitants légaux, quelles sont les conséquences de notre séparation sur nos biens ?",Droit de la famille
Est-ce que j'ai besoin d'un avocat quand je suis convoqué au tribunal ?,Droit pénal
L'administrateur de biens peut-il accepter le plan amiable proposé par le médiateur de dettes ?,Droit de la famille
Puis-je partir avant la fin de la période de préavis?,Droit immobilier
La protection des personnes vulnérables?,Droit financier
Je suis victime de violence familiale.,Droit de la famille
Je reçois les confidences en tant que professionnel. Dois-je dénoncer une situation de maltraitance d'enfants ?,Droit du travail
Les père et mère de l'enfant résident ensemble. Qui peut prendre les décisions concernant l'enfant si les parents vivent ensemble ?,Droit de la famille
Qu’est-ce que la médiation pénale ?,Droit pénal
"Si le père ne reconnaît pas mon enfant, quel nom lui donnera-t-il ?",Droit de la famille
Est-il possible d'invoquer la prescription pour ne pas payer ma dette?,Droit financier
Quelles sont les conséquences de notre divorce avec nos enfants?,Droit de la famille
Le bail non officiel de colocation prend-il automatiquement fin à l'échéance à Bruxelles ?,Droit immobilier
Je ne sais pas si mon conjoint héritera de mes biens quand je mourrai.,Droit financier
Un mineur a signé un contrat de bail. Quelle est la valeur de ce contrat à Bruxelles ?,Droit immobilier
Je vis avec ma famille en Belgique.,Droit des étrangers
Qu’est-ce que l’indexation du loyer à Bruxelles ?,Droit immobilier
J'ai signé une déclaration de cohabitation légale. Puis-je louer ou vendre notre maison sans l’accord de mon cohabitant légal ?,Droit de la famille
Le nom de mon enfant est mal orthographié dans son acte de naissance.,Droit de la famille
Je divorce. Je divorce pour cause de désunion irrémédiable. Puis-je demander seul(e) le divorce sur base de notre séparation de fait ?,Droit de la famille
"Je n’ai pas choisi un contrat de bail étudiant, quel type de bail est-ce alors à Bruxelles ?",Droit immobilier
Je souhaite divorcer pour cause de désunion irrémédiable. Puis-je fixer une limite dans le temps pour la pension alimentaire ?,Droit de la famille
Et si je ne suis pas d'accord avec l'arrêt du tribunal de la famille ?,Droit de la famille
Quel est le rôle du juge des saisies ?,Droit financier
Puis-je arrêter mon orientation budgétaire?,Droit financier
Puis-je déposer une plainte si je suis blessé dans un combat ?,Droit pénal
Qui doit réparer le mur à côté ?,Droit immobilier
Je vis avec ma famille en Belgique. J'ai un enfant en Belgique. Je suis étranger. Qui peut obtenir un titre de séjour par la reconnaissance d'un enfant né en Belgique ?,Droit des étrangers
Qu'est-ce que la traite d'êtres humains ?,Droit des étrangers
Puis-je être accusé d'être utile à quelqu'un en danger si je me taise ?,Droit du travail
Mon bail de location est-il un bail de résidence principale?,Droit immobilier
Le CPAS peut récupérer l'aide sociale des débiteurs de la pension alimentaire.,Droit de la protection sociale
"Je suis en règlement collectif de dettes, que faire si j'hérite ?",Droit financier
Je vis avec ma famille en Belgique.,Droit des étrangers
Quelle est l'utilisation de mesures urgentes et temporaires?,Droit de la famille
Je vis en union libre. Quels sont les droits de mon partenaire sur nos enfants nés en union libre ?,Droit de la famille
Mon propriétaire peut-il commencer mes meubles dans la rue en Wallonie ?,Droit immobilier
Est-ce que toutes les condamnations sont inscrites dans mon extrait de casier judiciaire ?,Droit pénal
"Je suis parent. Les frais extraordinaires, qu'est-ce que c'est ?",Droit de la famille
Mon propriétaire peut-il réévaluer le montant de la garantie locative en cours de bail à Bruxelles ?,Droit immobilier
Quelle est l'utilisation de mesures urgentes et temporaires?,Droit de la famille
Va-t-on me ficher si je suis en règlement collectif de dettes ?,Droit financier
Que se passe-t-il quand je termine ma phrase de travail ?,Droit pénal
Je m'assure que le propriétaire a obtenu un permis de location. Quels sont les critères d'octroi du permis de location en Wallonie ?,Droit immobilier
"Mon ami réclame un bail verbal avec moi, que puis-je faire ?",Droit immobilier
Que faire si l’autre parent ne respecte pas les modalités d’hébergement fixées par le juge ?,Droit de la famille
"J'introduis une demande en justice. J'ai fait appel du jugement, que se passe-t-il en attendant le nouveau jugement ?",Droit pénal
À quelle fréquence les visites à domicile ont-elles lieu en Wallonie?,Droit immobilier
Existe-t-il une procédure de mesures urgentes et temporaires entre cohabitants légaux?,Droit de la famille
Est-ce que je n'ai pas le droit de travailler pendant ma grossesse ?,Droit du travail
"Le propriétaire a envoyé un avis à un conjoint, est-il valide?",Droit de la famille
"Si mon hébergement est jugé insalubre en Wallonie, qui devrait faire quelque chose ?",Droit immobilier
Puis-je demander une réduction de loyer ?,Droit immobilier
Qu'est-ce que le règlement collectif de dettes (RCD) ?,Droit financier
Le propriétaire peut-il indexer le loyer à Bruxelles ?,Droit immobilier
L'assurance RC familiale couvre-t-elle les dommages causés à mon enfant?,Droit financier
Le règlement collectif des dettes suspend-il les intérêts?,Droit financier
Est-ce que mon cohabitant légal bénéficie de l'héritage ?,Droit de la famille
Après combien de temps ma dette de contribution alimentaire est-elle prescrite ?,Droit financier
Est-il possible que j'aie du mal à rembourser mon ami ?,Droit financier
"Mon propriétaire ne fait pas les réparations nécessaires, puis-je les faire à sa place à Bruxelles ?",Droit immobilier
J'ai signé une déclaration de cohabitation légale. A qui appartiennent les biens achetés pendant la cohabitation légale ?,Droit de la famille
Que faire si l'autre parent ne se conforme pas aux mesures d'adaptation fixées par le juge?,Droit de la famille
J'ai été condamné à une peine de prison et quelles conditions puis-je obtenir une surveillance électronique ?,Droit pénal
Puis-je louer ou vendre notre maison sans le consentement de mon cohabitant légal?,Droit de la famille
Comment se déroule la procédure judiciaire en vue de récupérer la garantie locative à Bruxelles ?,Droit immobilier
Devons-nous conclure un contrat de mariage ?,Droit de la famille
Quand le juge de paix peut-il mettre fin au bail à Bruxelles ?,Droit immobilier
"Je suis majeur. Je suis handicapé . A quelles conditions puis-je demander la nationalité belge si je suis handicapé, invalide ou pensionné ?",Droit des étrangers
Comment se déroule une expulsion ?,Droit immobilier
Quels sont les critères régionaux d'insalubrité ?,Droit immobilier
Est-il possible de demander une conciliation pour régler un litige de location?,Droit immobilier
Je suis parent. Je n'ai pas confiance en mon ex. Sur quel autre compte puis-je payer la contribution alimentaire ?,Droit de la famille
Je m'assure que le propriétaire a obtenu un permis de location (Région wallonne). Comment obtenir un permis de location en Wallonie ?,Droit immobilier
Est-il possible pour le propriétaire d'indexer le loyer à Bruxelles ?,Droit immobilier
Je vis avec mon partenaire dans une maison sur ma terre.,Droit de la famille
Le propriétaire peut-il réclamer l'intégralité du loyer d'un colocataire célibataire?,Droit immobilier
Le règlement collectif des dettes met-il fin à une coupure d'énergie?,Droit financier
Je suis locataire. Dois-je installer des détecteurs incendie en Wallonie ?,Droit financier
Je me lance dans la vie. Je vis seul(e). Je ne travaille pas. Comment puis-je contester le montant que je dois payer ?,Droit financier
L'expulsion est-elle rapide en Wallonie ?,Droit immobilier
Quelles mesures le juge de la famille peut-il prendre pour nos biens et nos dettes en tant que cohabitant légal?,Droit de la famille
Quel est le coût de l'huissier de justice?,Droit financier
Comment contester la décision d'un organisme de sécurité sociale?,Droit immobilier
"Si je ne suis pas d'accord avec la décision d'un autre juge, que dois-je faire?",Droit financier
Qu’est-ce que je risque si je me fais prendre à voler dans un magasin ?,Droit pénal
Le règlement collectif de dettes arrête-t-il une mesure d'expulsion ?,Droit financier
Comment répartir les charges entre les différents locataires d'une copropriété en Wallonie ?,Droit immobilier
Quelle est la clause de dépôt ?,Droit immobilier
Combien dois-je payer pour les poursuites judiciaires?,Droit pénal
J'ai divorcé pour cause de désunion irrémédiable. Puis-je modifier le montant de la pension alimentaire ?,Droit de la famille
Je divorce. Je divorce pour cause de désunion irrémédiable. Nous sommes d’accord de divorcer. Dans quels cas choisir le divorce pour cause de désunion irrémédiable ?,Droit de la famille
Le juge choisit-il d'office l'hébergement égalitaire ?,Droit de la famille
La police peut-elle me fouiller pour chercher du cannabis ?,Droit pénal
Est-il possible pour l'enfant de décider avec quel parent il veut vivre?,Droit de la famille
Qu'est-ce que l'opération criminelle?,Droit pénal
Quelle est la valeur des ententes de médiation familiale?,Droit de la famille
Je vis avec ma famille en Belgique.,Droit des étrangers
"J'ai signé une déclaration de cohabitation légale. En cohabitation légale, faut-il partager toutes les dépenses ?",Droit de la famille
"Je reçois les confidences en tant que professionnel. Je travaille dans un CPAS, dois-je répondre aux demandes d’informations du procureur du Roi pour lutter contre le terrorisme ?",Droit du travail
J'ai signé une déclaration de cohabitation légale. Les biens que je possédais avant notre cohabitation légale sont-ils communs ?,Droit de la famille
Que se passe-t-il si je ne paie plus la contribution alimentaire pour mes enfants ?,Droit financier
Dois-je demander un permis d’urbanisme si je divise ma maison en deux à Bruxelles ?,Droit immobilier
Est-il possible que le CPAS me demande de rembourser les RIS que j'ai reçus?,Droit de la protection sociale
"Les parents ne sont pas mariés ensemble. La mère de l'enfant est mariée à quelqu'un d'autre que le père. Quelles démarches pour reconnaître l'enfant si la mère de l'enfant et son mari résident ensemble ou, séparés, sont domiciliés à la même adresse ?",Droit de la famille
Dois-je engager un avocat pour contester la décision d'une organisation de sécurité sociale?,Droit immobilier
Je suis un professionnel et devrais-je parler au procureur du Roi de la radicalisation ou du terrorisme ?,Droit du travail
Qui est compétent en matière d'insalubrité ?,Droit immobilier
Je suis parent. Comment réclamer les frais extraordinaires à mon ex ?,Droit de la famille
"Je me sépare. En tant que cohabitants légaux, quelles sont les conséquences de notre séparation sur nos droits et devoirs l’un envers l’autre ?",Droit de la famille
Je suis en séjour illégal en Belgique (sans papiers). Je suis en séjour illégal. Puis-je reconnaître mon enfant en Belgique ?,Droit des étrangers
La police peut fouiller ma maison s'ils soupçonnent que j'ai du cannabis ?,Droit pénal
Qui prend des mesures urgentes pour le mineur au cours de la procédure?,Droit de la famille
Puis-je mettre fin à mon bail de courte durée avant l’échéance à Bruxelles ?,Droit immobilier
"Quelqu'un endetté qui ne veut pas présenter le RCD, que puis-je faire ?",Droit financier
Comment introduire un recours contre la décision d’un organisme de sécurité sociale en Wallonie ?,Droit immobilier
"Nous sommes des cohabitants légaux, quelles conséquences sur la relation avec nos enfants?",Droit de la famille
Je divorce. De quelles manières peut-on divorcer ?,Droit de la famille
Et si mon adversaire ne respecte pas la décision du tribunal ?,Droit pénal
Quelles sont les conséquences de notre séparation en tant que cohabitant légal?,Droit de la famille
"Si je ne rembourse pas mon crédit hypothécaire, peut-on faire vendre ma maison ?",Droit financier
Quels sont les problèmes d'une médiation familiale?,Droit de la famille
"La situation a changé depuis le jugement, comment obtenir une nouvelle décision du juge de la famille ?",Droit de la famille
Je suis majeur. Je séjourne en Belgique depuis au moins 5 ans. Comment introduire ma demande de déclaration de nationalité ?,Droit des étrangers
Dois-je payer les frais de justice si je conteste une décision d’un organisme de sécurité sociale ?,Droit de la protection sociale
Puis-je mettre fin au bail de 9 ans avant son échéance à Bruxelles ?,Droit immobilier
Comment suis-je responsable de mon enfant ?,Droit de la famille
J'ai signé une déclaration de cohabitation légale. Dois-je payer les dettes de mon cohabitant légal ?,Droit de la famille
Puis-je changer d'avocat désigné si je ne suis pas satisfait ?,Droit pénal
Quelles règles s'appliquent à mon bail?,Droit immobilier
J'ai été condamné à une peine de prison. Faut-il demander la surveillance électronique ou est-ce automatique ?,Droit pénal
Que faire si on m'a accordé un crédit sans vérifier mes capacités financières ?,Droit financier
Ai-je droit à l'aide juridique (ex pro deo) si je suis mineur d'âge ?,Droit pénal
Est-ce que quelqu'un s'en fiche si je suis en règlement de dettes ?,Droit financier
Ai-je droit à l'aide juridique (ex pro deo) si je suis handicapé ?,Droit pénal
Je m'adresse à la justice de la paix et je pense que mes accommodements sont insalubres.,Droit immobilier
Qu'est-ce qu'une crise ?,Droit financier
Je divorce à cause d'une désunion irrémédiable.,Droit de la famille
Faut-il un permis de location à Bruxelles ?,Droit immobilier
L'état des lieux est-il obligatoire dans la ville ?,Droit immobilier
Comment pouvons-nous contester la valeur de l'acheteur?,Droit immobilier
"J'ai mis sur des mérites exceptionnels, comment puis-je demander la naturalisation?",Droit des étrangers
Mon propriétaire peut-il travailler pendant que je suis à Bruxelles ?,Droit immobilier
Je suis majeur. Je suis marié à un/une Belge. Puis-je introduire un recours en cas d'avis négatif concernant ma demande de nationalité ?,Droit des étrangers
Qui organise et paie les funérailles lorsqu’il n’y a pas d’héritier ?,Droit financier
Je suis victime de violences conjugales. Que va-t-il se passer après mon dépôt de plainte pour violences conjugales ?,Droit de la famille
Je divorce. Je divorce pour cause de désunion irrémédiable. Que se passe-t-il si mon conjoint est maintenant d’accord de divorcer ?,Droit de la famille
Comment introduire un recours contre la décision d’un organisme de sécurité sociale ?,Droit de la protection sociale
Les parents ne sont pas mariés ensemble. Quelles démarches effectuer pour être reconnu comme le père de mon enfant si ni moi ni la mère ne sommes mariés ?,Droit de la famille
Une personne mise en observation est-elle incapable de gérer ses biens ?,Droit de la famille
Qu'est-ce que je fais si je déclenche un incendie ?,Droit pénal
Je suis marié(e). Nous sommes mariés. A qui appartient la voiture ?,Droit de la famille
Les père et mère de l'enfant résident séparément. Qui peut prendre les décisions concernant l'enfant si les parents sont séparés ?,Droit de la famille
"Si ma fille va à l'université, puis-je demander une augmentation de la contribution alimentaire ?",Droit de la famille
Je m'assure que le propriétaire a un permis.,Droit immobilier
Je n'ai pas signé de bail.,Droit immobilier
Dois-je vivre sous le même toit que mon cohabitant légal ?,Droit de la famille
Peut-on réclamer le loyer d'un colocataire ?,Droit immobilier
Comment introduire un recours contre la décision du CPAS devant le tribunal ?,Droit de la protection sociale
Dois-je partir avant la mise en oeuvre de l'expulsion ?,Droit immobilier
Mon propriétaire peut-il réclamer des intérêts pour moi en Wallonie ?,Droit immobilier
